Bundesland_A;AnzahlKH;AnzahlFall;BLCode
01_Schleswig-Holstein;59;647363;01
02_Hamburg;33;616704;02
03_Niedersachsen;166;1833227;03
04_Bremen;12;272158;04
05_Nordrhein-Westfalen;310;5319780;05
06_Hessen;119;1558952;06
07_Rheinland-Pfalz;79;1027022;07
08_Baden-Württemberg;174;2417521;08
09_Bayern;272;3303970;09
10_Saarland;21;298626;10
11_Berlin;47;947470;11
12_Brandenburg;53;631338;12
13_Mecklenburg-Vorpommern;32;488085;13
14_Sachsen;77;1182434;14
15_Sachsen-Anhalt;44;688753;15
16_Thüringen;43;719172;16
