Stufe;SummeHA;SummeHAw;SummeHAm;SummeHAu;Anteilw;Anteilm;Anteilu;SSTUFE
unter 1 Jahr;824851;390301;434533;17;0,4732;0,5268;0,00;00
1 bis unter 5 Jahre;328946;141278;187652;16;0,4295;0,5705;0,00;01
5 bis unter 10 Jahre;224071;97195;126872;4;0,4338;0,5662;0,00;05
10 bis unter 15 Jahre;271938;134437;137488;13;0,4944;0,5056;0,00;10
15 bis unter 20 Jahre;432943;248962;183976;5;0,575;0,4249;0,00;15
20 bis unter 25 Jahre;512664;312871;199791;2;0,6103;0,3897;0,00;20
25 bis unter 30 Jahre;642898;433339;209557;2;0,674;0,326;0,00;25
30 bis unter 35 Jahre;685835;470309;215524;2;0,6857;0,3143;0,00;30
35 bis unter 40 Jahre;582310;357466;224837;7;0,6139;0,3861;0,00;35
40 bis unter 45 Jahre;624140;324506;299630;4;0,5199;0,4801;0,00;40
45 bis unter 50 Jahre;902997;441252;461733;12;0,4887;0,5113;0,00;45
50 bis unter 55 Jahre;1118668;523843;594813;12;0,4683;0,5317;0,00;50
55 bis unter 60 Jahre;1198571;534100;664454;17;0,4456;0,5544;0,00;55
60 bis unter 65 Jahre;1310982;586041;724920;21;0,447;0,553;0,00;60
65 bis unter 70 Jahre;1255527;575662;679855;10;0,4585;0,5415;0,00;65
70 bis unter 75 Jahre;1848998;880692;968259;47;0,4763;0,5237;0,00;70
75 bis unter 80 Jahre;2030101;1038163;991919;19;0,5114;0,4886;0,00;75
80 bis unter 85 Jahre;1442407;815597;626793;17;0,5654;0,4345;0,00;80
85 bis unter 90 Jahre;1011654;652832;358790;32;0,6453;0,3547;0,00;85
90 Jahre und älter;493141;368455;124658;28;0,7472;0,2528;0,0001;90
