Bettenstufe;SummeKH;mwFallzahlBA;mwVwd;cmi;antSTF;BettenstufeSort
bis 49 Betten;48;1053,2083;3,6224;0,6106;0,0237;b0049
50 bis 99 Betten;56;1634,4107;3,7114;0,5982;0,0121;b0099
100 bis 149 Betten;81;1013,8642;3,7275;0,5267;0,0217;b0149
150 bis 199 Betten;96;589,6667;3,5523;0,5235;0,0181;b0199
200 bis 249 Betten;70;762,5714;3,5049;0,5673;0,0126;b0249
250 bis 299 Betten;65;825,60;3,5946;0,5815;0,0164;b0299
300 bis 399 Betten;108;687,0648;3,4585;0,5647;0,0188;b0399
400 bis 499 Betten;76;703,4079;3,4822;0,5114;0,016;b0499
500 bis 599 Betten;35;711,3714;3,9003;0,6052;0,0083;b0599
600 bis 799 Betten;37;1094,7568;3,3455;0,5449;0,0156;b0799
800 bis 999 Betten;13;717,7692;3,4319;0,5719;0,0107;b0999
1000 Betten und mehr;12;936,00;4,1325;0,6931;0,0117;b1000+
Ohne Angabe;6;990,00;3,20;0,5427;0,0123;oA
